contrast_type,evaluation_mode,candidate_pool,system,baseline,metric,n_queries,delta,ci_low,ci_high,p_value,p_value_corrected,significant,first_stage,reranker,depth
vs_baseline,job_to_talent,full,qwen,bm25,recall@20,177,0.10188385061266418,0.038155617922567074,0.16649732800156522,0.0017,0.0136,True,,,
vs_baseline,job_to_talent,full,qwen3_embedding,bm25,recall@20,177,0.09572908259348938,0.03042759617971482,0.162901869787463,0.0052,0.0312,True,,,
vs_baseline,job_to_talent,full,qwen3_embedding4,bm25,recall@20,177,0.15998361337344388,0.09788935052706238,0.22325834005918752,0.0,0.0,True,,,
vs_baseline,job_to_talent,full,qwen3_embedding8,bm25,recall@20,177,0.132546408393866,0.07325665859564165,0.1931265133171913,0.0,0.0,True,,,
vs_baseline,job_to_talent,full,qwen4,bm25,recall@20,177,0.12910277105192358,0.06479015334947538,0.19573648103309116,0.0001,0.0009000000000000001,True,,,
vs_baseline,job_to_talent,full,qwen8,bm25,recall@20,177,0.17311920659378285,0.10295469831486781,0.24453278242473156,0.0,0.0,True,,,
vs_baseline,job_to_talent,full,sheared_llama,bm25,recall@20,177,0.01691980336048133,-0.04806539976031501,0.08025280040110547,0.6111,0.8986,False,,,
vs_baseline,job_to_talent,full,snowflake,bm25,recall@20,177,0.03865592975762467,-0.020432885146868182,0.09827272421552075,0.2081,0.8324,False,,,
vs_baseline,job_to_talent,full,bge,bm25,ndcg@10,177,-0.05280705585749872,-0.09101271684484469,-0.015491304575858013,0.0074,0.0592,False,,,
vs_baseline,job_to_talent,full,bge-base,bm25,ndcg@10,177,-0.08427443982931497,-0.11872520031712391,-0.05261227914198031,0.0,0.0,True,,,
vs_baseline,job_to_talent,full,bge-large,bm25,ndcg@10,177,-0.06749206880134674,-0.10445347811173694,-0.03209159064684061,0.0005,0.005,True,,,
vs_baseline,job_to_talent,full,jina,bm25,ndcg@10,177,0.035186474466440736,-0.008410916183824037,0.07853118892205675,0.1146,0.573,False,,,
vs_baseline,job_to_talent,full,minilm,bm25,ndcg@10,177,0.0075985823117718145,-0.03302504829230164,0.04848308148649524,0.7119,1.0,False,,,
vs_baseline,job_to_talent,full,mpnet,bm25,ndcg@10,177,0.0014628347289362548,-0.036475962870289966,0.03865886186791262,0.94,1.0,False,,,
vs_baseline,job_to_talent,full,qwen,bm25,ndcg@10,177,0.04499470627271171,0.0017004345074307634,0.08818594390388917,0.0413,0.24780000000000002,False,,,
vs_baseline,job_to_talent,full,qwen3_embedding,bm25,ndcg@10,177,0.0572427521147638,0.015362076624174069,0.09981535805897042,0.0093,0.06509999999999999,False,,,
vs_baseline,job_to_talent,full,qwen3_embedding4,bm25,ndcg@10,177,0.08224325377975861,0.03877352811913542,0.12697160150016842,0.0004,0.0048000000000000004,True,,,
vs_baseline,job_to_talent,full,qwen3_embedding8,bm25,ndcg@10,177,0.0816496961033107,0.03539025274947109,0.1288316013266894,0.0004,0.0048000000000000004,True,,,
vs_baseline,job_to_talent,full,qwen4,bm25,ndcg@10,177,0.08732552559142465,0.03856017282501361,0.13616622169097287,0.0005,0.005,True,,,
vs_baseline,job_to_talent,full,qwen8,bm25,ndcg@10,177,0.10921334928808732,0.0597721210951472,0.15972492437011784,0.0,0.0,True,,,
vs_baseline,job_to_talent,full,sheared_llama,bm25,ndcg@10,177,-0.021601722058013584,-0.058117306368156936,0.013004902471037983,0.2344,0.9376,False,,,
vs_baseline,job_to_talent,full,snowflake,bm25,ndcg@10,177,0.011541762409872711,-0.025017470286237523,0.04803965988414925,0.5316,1.0,False,,,
vs_baseline,job_to_talent,full,bge,bm25,mrr,177,-0.07427816941295833,-0.12107876679465555,-0.029525869737108145,0.0022,0.024200000000000003,True,,,
vs_baseline,job_to_talent,full,bge-base,bm25,mrr,177,-0.09961848940041086,-0.13949363876731977,-0.06369087062935036,0.0,0.0,True,,,
vs_baseline,job_to_talent,full,bge-large,bm25,mrr,177,-0.07413942974378267,-0.11853811382023877,-0.031705597567002274,0.001,0.012,True,,,
vs_baseline,job_to_talent,full,jina,bm25,mrr,177,0.02278483926087707,-0.02743241892218715,0.0718911703877646,0.3674,1.0,False,,,
vs_baseline,job_to_talent,full,minilm,bm25,mrr,177,-0.0023603280318065002,-0.052007926214237755,0.045938341773338234,0.9212,1.0,False,,,
vs_baseline,job_to_talent,full,mpnet,bm25,mrr,177,-0.012681404978547486,-0.059749459673665864,0.034727408909321654,0.5886,1.0,False,,,
vs_baseline,job_to_talent,full,qwen,bm25,mrr,177,0.043546127708082895,-0.00840007085295444,0.09412528086506342,0.0929,0.5574,False,,,
vs_baseline,job_to_talent,full,qwen3_embedding,bm25,mrr,177,0.059262659630832784,0.009709874667901745,0.10983854411744805,0.0217,0.1519,False,,,
vs_baseline,job_to_talent,full,qwen3_embedding4,bm25,mrr,177,0.07514924664177183,0.02407383492402317,0.12606121543913393,0.0057,0.0513,False,,,
vs_baseline,job_to_talent,full,qwen3_embedding8,bm25,mrr,177,0.0775936460051163,0.021192373958242982,0.13324192826749032,0.0063,0.0513,False,,,
vs_baseline,job_to_talent,full,qwen4,bm25,mrr,177,0.08244394963495452,0.026181639399407125,0.13864116766483395,0.0047,0.047,True,,,
vs_baseline,job_to_talent,full,qwen8,bm25,mrr,177,0.10070287863553187,0.04186940149289355,0.15799863495144115,0.0007,0.0091,True,,,
vs_baseline,job_to_talent,full,sheared_llama,bm25,mrr,177,-0.03499374964811261,-0.07682987860480775,0.004850369506247619,0.0929,0.5574,False,,,
vs_baseline,job_to_talent,full,snowflake,bm25,mrr,177,0.002684142347648938,-0.04295954975074926,0.048194542346549823,0.9043,1.0,False,,,
vs_baseline,job_to_talent,observed,bge,bm25,hit@1,177,-0.04519774011299435,-0.13559322033898305,0.04519774011299435,0.359,1.0,False,,,
vs_baseline,job_to_talent,observed,bge-base,bm25,hit@1,177,-0.12429378531073447,-0.2033898305084746,-0.04519774011299435,0.0021,0.0294,True,,,
vs_baseline,job_to_talent,observed,bge-large,bm25,hit@1,177,-0.05649717514124294,-0.14124293785310735,0.02824858757062147,0.2321,1.0,False,,,
vs_baseline,job_to_talent,observed,jina,bm25,hit@1,177,0.05649717514124294,-0.03389830508474576,0.14124293785310735,0.2306,1.0,False,,,
vs_baseline,job_to_talent,observed,minilm,bm25,hit@1,177,0.0,-0.0847457627118644,0.0847457627118644,1.0,1.0,False,,,
vs_baseline,job_to_talent,observed,mpnet,bm25,hit@1,177,0.011299435028248588,-0.06793785310734338,0.0903954802259887,0.8387,1.0,False,,,
vs_baseline,job_to_talent,observed,qwen,bm25,hit@1,177,0.062146892655367235,-0.022598870056497175,0.14689265536723164,0.1766,1.0,False,,,
vs_baseline,job_to_talent,observed,qwen3_embedding,bm25,hit@1,177,0.07344632768361582,-0.005649717514124294,0.15254237288135594,0.0734,0.7340000000000001,False,,,
vs_baseline,job_to_talent,observed,qwen3_embedding4,bm25,hit@1,177,0.05649717514124294,-0.02824858757062147,0.13559322033898305,0.1918,1.0,False,,,
vs_baseline,job_to_talent,observed,qwen3_embedding8,bm25,hit@1,177,0.096045197740113,0.011299435028248588,0.1807909604519774,0.031,0.34099999999999997,False,,,
vs_baseline,job_to_talent,observed,qwen4,bm25,hit@1,177,0.1016949152542373,0.01694915254237288,0.1864406779661017,0.0225,0.27,False,,,
vs_baseline,job_to_talent,observed,qwen8,bm25,hit@1,177,0.12429378531073447,0.03954802259887006,0.20903954802259886,0.0062,0.08059999999999999,False,,,
vs_baseline,job_to_talent,observed,sheared_llama,bm25,hit@1,177,-0.02824858757062147,-0.10734463276836158,0.05084745762711865,0.531,1.0,False,,,
vs_baseline,job_to_talent,observed,snowflake,bm25,hit@1,177,0.005649717514124294,-0.07344632768361582,0.0847457627118644,0.9448,1.0,False,,,
vs_baseline,job_to_talent,observed,bge,bm25,recall@1,177,-0.02650231124807395,-0.09259555298750215,0.03815057353192943,0.4235,1.0,False,,,
vs_baseline,job_to_talent,observed,bge-base,bm25,recall@1,177,-0.0869206593782865,-0.1442118216058894,-0.030824085283831053,0.0025,0.0325,True,,,
vs_baseline,job_to_talent,observed,bge-large,bm25,recall@1,177,-0.028587326044953162,-0.09159636620441704,0.034028098784454716,0.3735,1.0,False,,,
vs_baseline,job_to_talent,observed,jina,bm25,recall@1,177,0.06016031990608261,-0.0011609435761977718,0.12150790593587202,0.054,0.432,False,,,
vs_baseline,job_to_talent,observed,minilm,bm25,recall@1,177,0.0005582458972289474,-0.054067964756524034,0.05715714958299702,0.985,1.0,False,,,
vs_baseline,job_to_talent,observed,mpnet,bm25,recall@1,177,0.007337906914178101,-0.053302394404089314,0.06604872881355932,0.8065,1.0,False,,,
vs_baseline,job_to_talent,observed,qwen,bm25,recall@1,177,0.05813155770782889,-0.0017093758407317667,0.11732243744955605,0.0567,0.432,False,,,
vs_baseline,job_to_talent,observed,qwen3_embedding,bm25,recall@1,177,0.06200992980653998,0.008387690463961659,0.11525445129258689,0.0237,0.2133,False,,,
vs_baseline,job_to_talent,observed,qwen3_embedding4,bm25,recall@1,177,0.07084342211460856,0.011762846381490458,0.12948664917944577,0.0181,0.18100000000000002,False,,,
vs_baseline,job_to_talent,observed,qwen3_embedding8,bm25,recall@1,177,0.089162203145254,0.03227812324210632,0.14691873333822486,0.0023,0.0322,True,,,
vs_baseline,job_to_talent,observed,qwen4,bm25,recall@1,177,0.08215386308606648,0.02000172732164259,0.14551513928632573,0.0099,0.10890000000000001,False,,,
